date,cpi_us,cpi_goods,cpi_services,indpro,oil_price,gscpi,cpi_yoy,cpi_goods_yoy,cpi_services_yoy,indpro_yoy,oil_yoy
2006-03-01,199.7,162.6,236.5,98.4628,62.7469565217391,-0.3812804891331319,3.4179181771103018,2.9765674477517434,3.7280701754385914,2.091541760329152,17.880859614300725
2006-04-01,200.7,164.1,237.1,98.7618,70.34,0.1132375969939505,3.613835828600931,3.467843631778056,3.763676148796491,2.1816142662632876,33.71534095538118
2006-05-01,201.3,164.6,237.8,98.7869,70.51,0.10661829071331762,3.9772727272727293,4.1113219481340835,3.8881607688947106,2.1156664964513183,43.06452207916789
2006-06-01,201.8,164.8,238.5,99.0997,69.2327272727273,0.17155976618523774,4.1817243159525175,4.303797468354431,4.103011785246613,1.9803386251444621,26.247036785305845
2006-07-01,202.9,166.4,239.2,99.0489,74.0409523809524,-0.09285749639611354,4.104669061056954,4.260651629072698,4.0452370595911225,2.251836527383766,28.48596030211381
2006-08-01,203.8,167.2,239.9,99.4836,73.5004347826087,0.06983897448611111,3.926568077511483,3.52941176470587,4.123263888888884,2.3669704568583194,14.933440300232515
2006-09-01,202.8,164.6,240.7,99.3183,62.5271428571429,-0.633439791702475,2.012072434607637,-0.8433734939759074,4.019014693171985,4.2159275134967755,-1.160614847699326
2006-10-01,201.9,162.5,241.0,99.2044,58.7581818181818,-0.509367681729203,1.4063284781516971,-1.3956310679611672,3.3891033891033873,2.8481025781383007,-0.2552932565542787
2006-11-01,202.0,162.0,241.7,99.1627,59.2227272727273,-0.22344536918146338,1.9687026754164672,0.12360939431395046,3.202391118701975,1.6621660136106442,6.8047119002532686
2006-12-01,203.1,163.4,242.4,100.1735,62.2604761904762,-0.4536893893729348,2.5239777889954462,1.17647058823529,3.412969283276457,2.1707334984272686,8.929219944369615
2007-01-01,203.437,163.335,243.214,99.8346,54.5030434782609,-0.8654550554609568,2.075765178123423,0.2670349907919034,3.275583864118903,1.6646656462990128,-13.913318171119894
2007-02-01,204.226,164.066,244.091,100.7753,57.9695,-0.710467755375753,2.420260782347028,0.9636923076923098,3.472233997456553,2.5793632616832207,-4.664051771632504
2007-03-01,205.288,165.554,244.743,100.9547,62.3572727272727,-0.5858176735663944,2.798197295943927,1.816728167281667,3.48541226215644,2.5308035115800154,-0.6210401524915254
2007-04-01,205.904,166.198,245.315,101.6334,67.6904761904762,-0.8195485335157885,2.5929247633283525,1.278488726386362,3.464782792070853,2.9076019270608766,-3.7667384269601922
2007-05-01,206.755,167.309,245.896,101.7306,67.7178260869565,-0.41270104900994337,2.709885742672613,1.6458080194410751,3.4045416316232036,2.9798485426711263,-3.9599686754268837
2007-06-01,207.234,167.519,246.645,101.7893,70.6190476190476,-0.36739706029946545,2.692765113974227,1.649878640776703,3.4150943396226374,2.7140344521729087,2.0024060887551043
2007-07-01,207.603,167.808,247.065,101.6672,76.1331818181818,-0.4245952002140862,2.3178905864958077,0.8461538461538298,3.2880434782608825,2.6434417747193573,2.825773264590836
2007-08-01,207.667,167.468,247.505,101.863,71.3130434782609,-0.09438261990348885,1.897448478900876,0.16028708133970504,3.17007086285952,2.3917510021752353,-2.9760249865425026
2007-09-01,208.547,168.479,248.248,102.0894,76.772,-0.031116571274676912,2.8338264299802685,2.3566221142163,3.1358537598670466,2.7901202497425004,22.781877584591758
2007-10-01,209.19,168.985,249.054,101.8015,82.5073913043478,-0.6022435908434384,3.610698365527476,3.990769230769242,3.3419087136929537,2.6179282370540014,40.41855746941643
2007-11-01,210.834,171.484,249.818,102.3446,92.7313636363636,-0.4776841955075157,4.373267326732666,5.854320987654327,3.3587091435664185,3.2087670061424323,56.58070458208597
2007-12-01,211.445,171.973,250.546,102.3803,91.5195238095238,-0.14159742659553268,4.108813392417532,5.246634026927799,3.3605610561056043,2.2029778334589523,46.99457731343737
2008-01-01,212.174,172.74,251.254,102.2448,92.0917391304348,-0.3656673778452936,4.294695655165981,5.7581045091376515,3.3057307556308313,2.4141930753466267,68.96623244015088
2008-02-01,212.687,173.2,251.827,101.8438,94.722380952381,0.46598283239534544,4.142959270611968,5.567271707727373,3.169309806588516,1.0602796518591306,63.400375977679644
2008-03-01,213.448,173.692,252.919,101.5336,103.161904761905,0.1573022310133748,3.9749035501344343,4.915616656800803,3.3406471278034644,0.5734255066876637,65.43684521466557
2008-04-01,213.942,173.978,253.59,100.8785,110.033181818182,0.13821440490961714,3.9037609759888126,4.681163431569568,3.3732140309398195,-0.7427676334748168,62.55341668531984
2008-05-01,215.208,175.384,254.677,100.2674,123.862272727273,-0.11083183367101597,4.088413823123993,4.826399058030351,3.5710218954354778,-1.4383086308347726,82.90940493013075
2008-06-01,217.463,178.686,255.839,100.0335,132.760476190476,0.2782815874016737,4.935966105947864,6.666109515935514,3.7276247237933102,-1.724935725071297,87.99527983816564
2008-07-01,219.016,180.525,257.074,99.676,133.585217391304,1.0058243636761832,5.497512078341837,7.578303775743711,4.051160625746264,-1.9585471027037116,75.46254366503014
2008-08-01,218.69,179.394,257.56,98.1111,113.800476190476,0.28340601435601304,5.308017162091239,7.121360498722162,4.0625441910264515,-3.6832804845724265,59.578767978353085
2008-09-01,218.877,179.74,257.582,93.7895,98.7554545454546,-0.5326326696309509,4.953319875136075,6.683919064096999,3.7599497276916694,-8.130031129578574,28.634729517864056
2008-10-01,216.995,175.931,257.712,94.7219,71.9634782608696,-0.9728624388737105,3.7310578899565128,4.110424002130375,3.476354525524572,-6.954317961916079,-12.779355736244902
2008-11-01,213.153,168.25,257.821,93.4715,52.7135,-1.5251693133778015,1.0999174706166848,-1.8858902288260149,3.2035321714207976,-8.669827230747885,-43.15461572773748
2008-12-01,211.398,164.636,257.988,90.8357,40.5117391304348,-0.6994099762646433,-0.02222800255385904,-4.266367394881765,2.9703128367644993,-11.276192783181926,-55.73432045521742
2009-01-01,211.933,165.247,258.453,88.57,43.1745454545455,-0.3977617987115554,-0.11358601902212717,-4.337733009146694,2.8652280162703825,-13.374567704176643,-53.117895413621284
2009-02-01,212.705,166.58,258.656,88.031,42.9105,-0.4193695723560661,0.008463140671510772,-3.822170900692823,2.7117822949882298,-13.562730377303279,-54.69866828878378
2009-03-01,212.495,166.142,258.744,86.6528,46.5827272727273,0.20407419449865402,-0.4464787676623838,-4.34677475070816,2.3031089004780236,-14.656035046526473,-54.84502987780322
2009-04-01,212.709,166.58,258.698,85.9344,50.5190909090909,0.8610518741448063,-0.5763244243767063,-4.252261780225086,2.0142750108442575,-14.81395936696125,-54.087403386581826
2009-05-01,213.022,167.281,258.584,85.0665,57.5014285714286,0.3524003261584149,-1.015761495855172,-4.6201477899922345,1.5341000561495566,-15.160361194166793,-53.57631722288956
2009-06-01,214.79,170.658,258.686,84.7459,68.58,-0.489386768350117,-1.2291746182109153,-4.492797421174588,1.1128092276783352,-15.282480369076357,-48.34305964554848
2009-07-01,214.726,170.456,258.747,85.7027,64.9043478260869,-0.729898152848537,-1.9587610037622771,-5.577620828140151,0.650785376973162,-14.018720654921957,-51.41352531847436
