rank,port_complex_id,port_complex_name,coast,component_port_codes,geometry_version,source_vintage,ranking_value_2017_2019,cumulative_share,inclusion_status,inclusion_reason
1,san_pedro_bay,San Pedro Bay (Los Angeles/Long Beach),Pacific,2704;2709,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,286294960801.6667,0.36568157992223,included,top_20
2,new_york_new_jersey,Port of New York and New Jersey,Atlantic,1001;1003,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,127269614832.66666,0.5282417371034258,included,top_20
37,port_lavaca_tx,"Port Lavaca, Tx",Gulf,5313,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,158266666.66666666,0.9984068465104514,excluded_by_selection_rule,outside_selected_coverage
38,beaufort_morehead_city_nc,"Beaufort-Morehead City, Nc",Atlantic,1511,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,138971094.33333334,0.9985843528458653,excluded_by_selection_rule,outside_selected_coverage
39,carquinez_strait_ca,"Carquinez Strait, Ca",Pacific,2830,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,92464609.33333333,0.9987024569310131,excluded_by_selection_rule,outside_selected_coverage
40,lake_charles_la,"Lake Charles, La",Gulf,2017,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,89060642.33333333,0.9988162131644661,excluded_by_selection_rule,outside_selected_coverage
41,perth_amboy_nj,"Perth Amboy, Nj",Atlantic,1004,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,88448649.0,0.9989291877051906,excluded_by_selection_rule,outside_selected_coverage
42,gramercy_la,"Gramercy, La",Gulf,2010,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,88369508.66666667,0.9990420611607892,excluded_by_selection_rule,outside_selected_coverage
43,baton_rouge_la,"Baton Rouge, La",Gulf,2004,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,86059578.66666667,0.9991519841667902,excluded_by_selection_rule,outside_selected_coverage
44,albany_ny,"Albany, Ny",Atlantic,1002,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,70568411.66666667,0.9992421204660761,excluded_by_selection_rule,outside_selected_coverage
45,aberdeen_hoquiam_wa,"Aberdeen-Hoquiam, Wa",Pacific,3003,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,67445698.33333333,0.9993282681560545,excluded_by_selection_rule,outside_selected_coverage
46,providence_ri,"Providence, Ri",Atlantic,0502,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,66097087.666666664,0.999412693279635,excluded_by_selection_rule,outside_selected_coverage
47,brownsville_tx,"Brownsville, Tx",Gulf,2301,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,65243423.333333336,0.9994960280266291,excluded_by_selection_rule,outside_selected_coverage
48,stockton_ca,"Stockton, Ca",Pacific,2810,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,47692795.0,0.9995569455383368,excluded_by_selection_rule,outside_selected_coverage
49,port_arthur_tx,"Port Arthur, Tx",Gulf,2101,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,40361121.333333336,0.9996084983794183,excluded_by_selection_rule,outside_selected_coverage
50,beaumont_tx,"Beaumont, Tx",Gulf,2104,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,38484491.666666664,0.9996576542209173,excluded_by_selection_rule,outside_selected_coverage
51,portland_or,"Portland, Or",Pacific,2904,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,38390434.666666664,0.9997066899243873,excluded_by_selection_rule,outside_selected_coverage
52,port_canaveral_fl,"Port Canaveral, Fl",Atlantic,1816,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,37871545.666666664,0.9997550628563268,excluded_by_selection_rule,outside_selected_coverage
53,washington_dc,"Washington, Dc",Atlantic,5401,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,31453295.0,0.9997952378233508,excluded_by_selection_rule,outside_selected_coverage
54,vancouver_wa,"Vancouver, Wa",Pacific,2908,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,16820296.333333332,0.9998167222131589,excluded_by_selection_rule,outside_selected_coverage
55,portsmouth_nh,"Portsmouth, Nh",Atlantic,0131,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,16518863.666666666,0.9998378215861524,excluded_by_selection_rule,outside_selected_coverage
56,new_bedford_ma,"New Bedford, Ma",Atlantic,0405,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,10993840.333333334,0.9998518639042263,excluded_by_selection_rule,outside_selected_coverage
57,pascagoula_ms,"Pascagoula, Ms",Gulf,1903,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,10919628.333333334,0.9998658114320833,excluded_by_selection_rule,outside_selected_coverage
58,longview_wa,"Longview, Wa",Pacific,2905,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,10531308.0,0.9998792629624117,excluded_by_selection_rule,outside_selected_coverage
59,port_san_luis_ca,"Port San Luis, Ca",Pacific,2707,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,9828937.333333334,0.9998918173619825,excluded_by_selection_rule,outside_selected_coverage
60,new_haven_ct,"New Haven, Ct",Atlantic,0412,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,9828487.333333334,0.9999043711867731,excluded_by_selection_rule,outside_selected_coverage
61,blaine_wa,"Blaine, Wa",Pacific,3004,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,8706613.666666666,0.999915492053981,excluded_by_selection_rule,outside_selected_coverage
62,richmond_petersburg_va,"Richmond-Petersburg, Va",Atlantic,1404,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,7359193.666666667,0.9999248918756175,excluded_by_selection_rule,outside_selected_coverage
63,new_london_ct,"New London, Ct",Atlantic,0413,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,6609810.333333333,0.9999333345177057,excluded_by_selection_rule,outside_selected_coverage
64,georgetown_sc,"Georgetown, Sc",Atlantic,1602,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,6405341.0,0.999941515993238,excluded_by_selection_rule,outside_selected_coverage
65,searsport_me,"Searsport, Me",Atlantic,0152,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,5468625.666666667,0.9999485010120039,excluded_by_selection_rule,outside_selected_coverage
66,port_sulphur_la,"Port Sulphur, La",Gulf,2005,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,5069651.666666667,0.9999549764254234,excluded_by_selection_rule,outside_selected_coverage
67,kalama_wa,"Kalama, Wa",Pacific,2909,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,4875018.0,0.999961203235282,excluded_by_selection_rule,outside_selected_coverage
68,annapolis_md,"Annapolis, Md",Atlantic,1301,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,3979706.6666666665,0.9999662864732733,excluded_by_selection_rule,outside_selected_coverage
69,pensacola_fl,"Pensacola, Fl",Gulf,1819,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,3394281.6666666665,0.9999706219539926,excluded_by_selection_rule,outside_selected_coverage
70,anacortes_wa,"Anacortes, Wa",Pacific,3010,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,3315982.6666666665,0.9999748574242122,excluded_by_selection_rule,outside_selected_coverage
71,el_segundo_ca,"El Segundo, Ca",Pacific,2711,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,2771630.6666666665,0.9999783975992761,excluded_by_selection_rule,outside_selected_coverage
72,eureka_ca,"Eureka, Ca",Pacific,2802,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,1568809.3333333333,0.9999804014231436,excluded_by_selection_rule,outside_selected_coverage
73,fernandina_fl,"Fernandina, Fl",Atlantic,1805,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,1451460.3333333333,0.9999822553583524,excluded_by_selection_rule,outside_selected_coverage
74,salem_ma,"Salem, Ma",Atlantic,0408,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,1341123.6666666667,0.9999839683616826,excluded_by_selection_rule,outside_selected_coverage
