mmsi,length_m,width_m,draft_m,vessel_type,imo,n_obs,first_year,last_year
212218000,183.0,32.0,10.8,80.0,,277,2015,2015
212236000,196.0,30.0,11.0,71.0,,20,2016,2016
212250000,225.0,32.0,7.2,70.0,,21,2021,2021
212258000,180.0,30.0,9.8,70.0,,1384,2016,2018
212272000,189.0,32.0,12.6,70.0,,770,2021,2021
212275000,171.0,28.0,10.6,70.0,,2344,2019,2025
212276000,259.0,32.0,12.6,70.0,,660,2023,2024
212280000,200.0,28.0,11.0,79.0,,895,2015,2015
212282000,224.0,32.0,14.4,70.0,,925,2018,2022
212287000,160.0,27.0,9.8,70.0,,1152,2017,2018
212300000,179.0,30.0,10.0,70.0,,390,2018,2019
212301000,179.0,30.0,10.0,70.0,,829,2018,2025
212314000,159.0,27.0,9.8,70.0,,1548,2015,2019
212337000,185.0,23.0,10.4,70.0,,238,2018,2018
212347000,303.0,40.0,14.0,70.0,,1719,2015,2022
212348000,303.0,40.0,14.0,70.0,,3191,2016,2024
212350000,304.0,40.0,14.0,70.0,,3302,2015,2024
212351000,303.0,40.0,14.5,70.0,,1702,2018,2022
212352000,220.0,32.0,12.2,70.0,,490,2021,2021
212353000,303.0,40.0,14.0,70.0,,2518,2015,2021
212363000,154.0,26.0,9.5,70.0,,4016,2016,2020
212366000,182.0,30.0,10.0,70.0,,36,2019,2019
212370000,99.0,16.0,5.9,70.0,,2035,2015,2024
212372000,185.0,23.0,10.4,70.0,,1260,2017,2024
212384000,229.0,32.0,14.55,70.0,,469,2015,2015
212389000,154.0,26.0,9.5,70.0,,225,2016,2016
212403000,229.0,38.0,8.2,70.0,,481,2025,2025
212416000,294.0,32.0,13.65,79.0,,468,2015,2017
212425000,186.0,30.0,11.46,79.0,,35,2015,2015
212426000,199.0,32.0,13.0,70.0,,135,2025,2025
212439000,182.0,28.0,10.8,70.0,,3640,2018,2024
212450000,184.0,23.0,10.4,70.0,,437,2019,2019
212451000,197.0,33.0,6.9,70.0,,226,2024,2024
212452000,224.0,32.0,9.0,70.0,,478,2024,2024
212460000,225.0,,,70.0,,164,2019,2019
212498000,225.0,32.0,14.4,70.0,,236,2023,2023
212505000,273.0,48.0,9.0,80.0,,4,2025,2025
212510000,225.0,32.0,10.1,70.0,,909,2024,2024
212522000,182.0,32.0,12.0,80.0,,464,2018,2018
212533000,190.0,32.0,11.7,70.0,,1392,2018,2025
212582000,199.0,,11.0,70.0,,402,2024,2024
212583000,200.0,32.0,8.4,70.0,,475,2025,2025
212587000,185.0,30.0,8.8,71.0,,478,2023,2023
212598000,100.0,16.0,6.39,71.0,,1080,2015,2015
212602000,154.0,26.0,9.7,70.0,,3215,2015,2020
212642000,332.0,43.0,12.3,70.0,,709,2025,2025
212643000,154.0,26.0,9.7,70.0,,965,2015,2018
212656000,183.0,33.0,10.5,80.0,,1637,2022,2025
212659000,195.0,32.0,9.0,70.0,,1297,2021,2025
212669000,160.0,27.0,9.8,70.0,,827,2023,2024
212679000,225.0,33.0,8.9,70.0,,472,2025,2025
212684000,229.0,32.0,14.4,70.0,,412,2017,2017
212712000,180.0,30.0,9.0,70.0,,812,2021,2024
212714000,260.0,32.0,12.6,70.0,,921,2015,2021
212715000,189.0,,,70.0,,943,2021,2022
212722000,182.0,32.0,7.5,80.0,,377,2016,2016
212723000,121.0,18.0,4.4,70.0,,948,2023,2023
212728000,178.0,26.0,9.7,70.0,,438,2018,2018
212745000,235.0,32.0,8.6,70.0,,269,2019,2019
212746000,332.0,44.0,11.0,74.0,,459,2025,2025
212773000,200.0,24.0,10.7,79.0,,434,2017,2023
