Port,YearMonth,UniqueVessels,MeanDwellDays,MedianDwellDays,StdDwellDays,MinDwellDays,MaxDwellDays,TotalObservations,AvgVesselLength,PortName,days_ok,days_total
NY_NJ,2018-07,308,3.085911683802309,1.444982638888889,4.939262108590449,0.015636574074074074,30.999513888888888,121895,235.83946488294313,NY_NJ,31,31
Savannah,2018-07,203,1.467221880131363,0.9823726851851852,2.116267720680806,0.01976851851851852,20.093391203703703,134367,263.845,Savannah,31,31
Seattle,2018-07,131,3.74375176703421,1.725625,5.7735100733919955,0.0038425925925925928,30.9959375,91591,259.992,Seattle,31,31
Houston,2018-08,468,4.797037605848369,2.5707407407407405,6.3438224196978865,0.012847222222222222,29.802199074074075,111873,189.16,Houston,31,31
LA_Long_Beach,2018-08,316,4.563877937470698,3.0323379629629628,6.046802457299796,0.012488425925925925,30.997974537037038,533937,257.4901960784314,LA_Long_Beach,31,31
NY_NJ,2018-08,328,3.542210824582204,1.427488425925926,5.771582598612515,0.017037037037037038,30.40978009259259,112357,235.2826086956522,NY_NJ,31,31
Savannah,2018-08,196,1.9269104898904006,0.9942997685185185,4.146677555412542,0.09940972222222222,29.654930555555556,137755,268.1589743589744,Savannah,31,31
Seattle,2018-08,123,3.6286983401084014,1.663113425925926,6.127569896149309,0.005833333333333334,30.998472222222222,75213,252.8595041322314,Seattle,31,31
Houston,2018-09,436,4.341789495200476,2.513912037037037,5.617485100535752,0.02443287037037037,27.970787037037038,98376,189.3857493857494,Houston,30,30
LA_Long_Beach,2018-09,311,5.037532675360247,3.066145833333333,6.235663295623326,0.03125,29.997939814814814,579840,256.7880794701987,LA_Long_Beach,30,30
NY_NJ,2018-09,296,3.2119098004254254,1.2100347222222223,5.4231298434995425,0.014918981481481481,28.824525462962963,111330,235.08474576271186,NY_NJ,30,30
Savannah,2018-09,200,1.8129831597222221,0.9805497685185185,3.546362882347625,0.04259259259259259,26.685219907407408,136855,266.4646464646465,Savannah,30,30
Seattle,2018-09,124,3.6668379442951013,1.506099537037037,6.048794276315836,0.0,29.99795138888889,89515,251.78861788617886,Seattle,30,30
Houston,2018-10,439,4.3631740382181725,2.3425810185185183,5.618047432799931,0.023125,27.4896875,96776,187.64028776978418,Houston,31,31
LA_Long_Beach,2018-10,307,5.100839780130293,3.052604166666667,6.4787879114354565,0.04756944444444444,30.997905092592593,568188,255.8896321070234,LA_Long_Beach,31,31
NY_NJ,2018-10,314,3.52881310450578,1.3243518518518518,5.8704962397534635,0.009259259259259259,30.997777777777777,126280,236.29581993569133,NY_NJ,31,31
Savannah,2018-10,204,1.309009225217865,1.0030497685185185,1.5922905657429762,0.07487268518518518,21.40041666666667,128027,265.2722772277228,Savannah,31,31
Seattle,2018-10,118,4.029509376961707,1.7575347222222222,6.294211153817914,0.00375,30.998125,81949,256.646017699115,Seattle,31,31
Houston,2018-11,428,4.252687646028037,2.269398148148148,5.49295431863299,0.007858796296296296,26.444988425925924,92562,190.17199017199016,Houston,30,30
LA_Long_Beach,2018-11,274,5.003153470532577,2.937800925925926,6.588397214455401,0.06099537037037037,29.99792824074074,464387,261.0375939849624,LA_Long_Beach,30,30
NY_NJ,2018-11,261,3.471586224634596,1.402638888888889,5.80895076484718,0.01744212962962963,29.99857638888889,90220,241.34509803921569,NY_NJ,30,30
Savannah,2018-11,184,1.6174706873993558,1.0440046296296297,2.9475707565927745,0.017939814814814815,26.18810185185185,113268,263.0989010989011,Savannah,30,30
Seattle,2018-11,116,4.321193526500639,1.9414641203703704,6.883625617111453,0.006863425925925926,29.99792824074074,109312,255.3859649122807,Seattle,30,30
Houston,2018-12,426,4.567445878977569,2.270347222222222,6.248087105838881,0.023368055555555555,30.99716435185185,97044,191.13118811881188,Houston,31,31
LA_Long_Beach,2018-12,304,5.143874116715399,3.449033564814815,6.137763794695018,0.07560185185185185,30.999826388888888,542542,258.38013698630135,LA_Long_Beach,31,31
NY_NJ,2018-12,294,3.6444616087175614,1.3019270833333332,6.34546085251518,0.015960648148148147,30.99804398148148,118065,235.39084507042253,NY_NJ,31,31
Savannah,2018-12,168,1.6003156001984127,1.0170833333333333,2.343276084503635,0.08084490740740741,21.846469907407407,121098,266.55757575757576,Savannah,31,31
Seattle,2018-12,119,4.6970210862122626,1.977511574074074,7.358099568018879,0.005069444444444444,30.999895833333333,125434,249.135593220339,Seattle,31,31
Houston,2019-01,450,4.6944755658436215,2.3167824074074073,6.209500138015352,0.02638888888888889,29.928125,97012,189.64788732394365,Houston,31,31
LA_Long_Beach,2019-01,305,5.981165300546448,3.9864814814814813,6.581337977843674,0.0,30.99849537037037,612201,258.1740614334471,LA_Long_Beach,31,31
NY_NJ,2019-01,291,3.613604906452845,1.5367592592592592,5.6093751043590885,0.0134375,30.996944444444445,109244,238.89752650176678,NY_NJ,31,31
Savannah,2019-01,200,1.5251840856481482,1.0665856481481482,2.5110368001814285,0.06358796296296296,28.196550925925926,136013,266.70558375634516,Savannah,31,31
Seattle,2019-01,126,4.853297049529688,2.2824479166666665,7.476479063522815,0.006539351851851852,30.999930555555554,137786,256.3412698412698,Seattle,31,31
Houston,2019-02,369,4.3619595628826655,2.5792361111111113,5.3206848784640925,0.011111111111111112,27.818935185185186,93791,189.07954545454547,Houston,28,28
LA_Long_Beach,2019-02,275,4.87069537037037,3.167013888888889,5.731312850347502,0.0,27.998726851851853,467854,253.88345864661653,LA_Long_Beach,28,28
NY_NJ,2019-02,263,3.4986136635685114,1.459074074074074,5.611523486249884,0.01607638888888889,27.909884259259258,104432,241.75968992248062,NY_NJ,28,28
Savannah,2019-02,164,1.595878641598916,1.1399016203703702,2.2592775376878884,0.043287037037037034,25.57607638888889,125353,258.42944785276075,Savannah,28,28
Seattle,2019-02,118,4.940655014124294,2.327065972222222,6.65504411772112,0.0,27.997905092592593,104390,239.05172413793105,Seattle,28,28
Houston,2019-03,419,4.691016087686732,2.5896064814814816,5.804814542127055,0.02546296296296296,29.72775462962963,93252,191.12060301507537,Houston,31,31
LA_Long_Beach,2019-03,282,5.056976868268978,2.883755787037037,6.574896590564492,0.023842592592592592,30.998645833333335,468874,251.54379562043795,LA_Long_Beach,31,31
NY_NJ,2019-03,274,3.3161585901595028,1.3221238425925925,5.652704520440558,0.01574074074074074,30.998171296296295,87963,233.68045112781954,NY_NJ,31,31
Savannah,2019-03,197,1.7144572523030646,1.1159722222222221,3.038660945433504,0.008460648148148148,30.99761574074074,143819,260.3541666666667,Savannah,31,31
Seattle,2019-03,125,4.011900185185185,1.6601273148148148,6.725213409292411,0.0032291666666666666,30.997916666666665,76713,249.82926829268294,Seattle,31,31
Houston,2019-04,462,4.435275172358506,2.469519675925926,5.749293273794266,0.012488425925925925,28.97363425925926,102100,190.17620137299772,Houston,30,30
LA_Long_Beach,2019-04,275,5.14154393939394,3.2425810185185187,6.362482936642801,0.03528935185185185,29.999560185185185,510002,252.97426470588235,LA_Long_Beach,30,30
NY_NJ,2019-04,286,3.240664457070707,1.2035069444444444,5.421298532739858,0.015601851851851851,29.998078703703705,97498,234.29787234042553,NY_NJ,30,30
Savannah,2019-04,179,1.5164011742189116,0.9969907407407408,2.3229729801954435,0.015150462962962963,21.24324074074074,118661,260.268156424581,Savannah,30,30
Seattle,2019-04,120,3.89299787808642,1.9485474537037035,5.655326822467779,0.002916666666666667,29.99912037037037,99221,249.0420168067227,Seattle,30,30
Houston,2019-05,452,5.164777839233039,2.5792534722222222,6.649617501340137,0.009722222222222222,30.25695601851852,98472,191.13225058004642,Houston,31,31
LA_Long_Beach,2019-05,279,5.473319685052436,3.192800925925926,6.893025492019611,0.028483796296296295,30.999525462962964,514633,251.16176470588235,LA_Long_Beach,31,31
NY_NJ,2019-05,305,2.988282559198543,1.2167476851851853,4.9320124580148725,0.016898148148148148,30.30707175925926,105558,234.0702341137124,NY_NJ,31,31
Savannah,2019-05,194,2.0350674159984727,1.0282349537037039,4.213516079666905,0.14913194444444444,30.997546296296296,141571,257.2552083333333,Savannah,31,31
Seattle,2019-05,137,3.2068418829413354,1.3910300925925927,5.946793170205993,0.006736111111111111,30.99744212962963,77845,251.7348484848485,Seattle,31,31
Houston,2019-06,415,5.245389307228916,2.734224537037037,6.209437780545618,0.016875,29.998055555555556,87631,190.57070707070707,Houston,30,30
LA_Long_Beach,2019-06,283,5.078266260960607,3.054837962962963,6.549350586466914,0.0,29.997905092592593,507735,257.7236363636364,LA_Long_Beach,30,30
NY_NJ,2019-06,273,3.2906916887125224,1.3178819444444445,5.220139146608714,0.016979166666666667,27.417662037037037,87581,238.34831460674158,NY_NJ,30,30
Savannah,2019-06,174,1.5650251436781608,0.973917824074074,2.968286303177777,0.09737268518518519,27.809444444444445,115226,266.43023255813955,Savannah,30,30
Seattle,2019-06,116,3.9419108197637294,1.6858333333333333,6.680067744164383,0.003946759259259259,29.998391203703704,94017,254.0990990990991,Seattle,30,30
Houston,2019-07,422,4.9316787618483415,2.3630555555555555,6.368466364002517,0.023148148148148147,29.888113425925926,87427,190.6625,Houston,30,31
LA_Long_Beach,2019-07,286,4.8156595198782695,2.991979166666667,6.257381058726975,0.017847222222222223,30.997546296296296,479977,254.52142857142857,LA_Long_Beach,30,31
NY_NJ,2019-07,302,3.6213047660657347,1.4321296296296295,6.252608685246136,0.01587962962962963,30.46212962962963,98870,235.40549828178695,NY_NJ,30,31
Savannah,2019-07,194,1.7429212008400154,1.055625,3.248381719518982,0.07302083333333333,28.243796296296296,124329,265.4764397905759,Savannah,30,31
Seattle,2019-07,128,3.5638856336805556,1.524068287037037,6.183359538079274,0.0031944444444444446,30.998032407407408,99793,263.22222222222223,Seattle,30,31
Houston,2019-08,429,4.5686980920314255,2.39275462962963,5.86174030127778,0.023564814814814816,29.54482638888889,88943,191.65693430656935,Houston,31,31
LA_Long_Beach,2019-08,278,5.0647301325606175,3.084918981481482,6.564197741926974,0.04744212962962963,30.997916666666665,487266,257.39272727272726,LA_Long_Beach,31,31
NY_NJ,2019-08,286,3.272349010942761,1.5063020833333334,5.0365502453598685,0.013703703703703704,30.380729166666665,89372,236.57818181818183,NY_NJ,31,31
Savannah,2019-08,195,2.1057513057929724,1.033576388888889,4.427267941072027,0.2993287037037037,30.493622685185183,142640,260.3541666666667,Savannah,31,31
Seattle,2019-08,122,3.6594134221311476,1.6297858796296296,6.8348586216749965,0.0,30.99858796296296,79910,254.4672131147541,Seattle,31,31
Houston,2019-09,409,4.381235765869782,2.4019328703703704,5.6001195034738425,0.02591435185185185,28.85763888888889,92959,188.64155844155843,Houston,30,30
LA_Long_Beach,2019-09,276,4.8346276167471816,2.8375,6.237876007063349,0.10380787037037037,29.999606481481482,467087,254.53333333333333,LA_Long_Beach,30,30
NY_NJ,2019-09,269,3.5003021736885582,1.3358796296296296,5.710423051757821,0.016435185185185185,29.434745370370372,81532,233.3854961832061,NY_NJ,30,30
Savannah,2019-09,182,1.4254064916564915,0.9424884259259259,2.1004139852358956,0.046689814814814816,18.719930555555557,110301,261.68508287292815,Savannah,30,30
Seattle,2019-09,117,3.596706928616651,1.7313425925925925,5.700417022610363,0.005555555555555556,29.99704861111111,86533,253.4017094017094,Seattle,30,30
Houston,2019-10,420,4.831235119047619,2.4797569444444445,6.1514845494820305,0.0246875,30.53615740740741,87100,190.1077694235589,Houston,31,31
LA_Long_Beach,2019-10,291,5.171379303487336,3.0752314814814814,6.887643686428769,0.0,30.999444444444446,520408,254.23693379790942,LA_Long_Beach,31,31
NY_NJ,2019-10,276,3.550449585681696,1.355306712962963,5.896216356609922,0.003935185185185185,30.40400462962963,81009,242.1060606060606,NY_NJ,31,31
Savannah,2019-10,175,2.0234760582010582,1.0933333333333333,3.939715451976755,0.010532407407407407,28.75380787037037,115188,268.4011627906977,Savannah,31,31
Seattle,2019-10,122,4.021997381602914,1.7233333333333334,6.731610404690781,0.0,30.99792824074074,84813,255.77685950413223,Seattle,31,31
Houston,2019-11,402,4.354743527731712,2.347679398148148,5.881320014263507,0.009722222222222222,28.957592592592594,88617,190.1151832460733,Houston,30,30
