Port,YearMonth,UniqueVessels,MeanDwellDays,MedianDwellDays,StdDwellDays,MinDwellDays,MaxDwellDays,TotalObservations,AvgVesselLength,PortName,days_ok,days_total
Houston,2018-05,490,4.354435752078609,2.242922453703704,5.782808023641139,0.0268634259259259,28.47427083333333,118621,189.2494669509595,Houston,31,31
LA_Long_Beach,2018-05,314,5.51674856982779,3.078130787037037,7.035246245953895,0.0145833333333333,30.998078703703705,622562,259.029702970297,LA_Long_Beach,31,31
NY_NJ,2018-05,319,3.34630289968652,1.2760185185185184,5.69465008694761,0.0149305555555555,30.99946759259259,125526,235.384126984127,NY_NJ,31,31
Savannah,2018-05,214,1.9982381446867428,1.0747395833333333,4.011846478498224,0.0758449074074074,29.623854166666668,154277,252.7772511848341,Savannah,31,31
Seattle,2018-05,135,4.363702846364884,1.726712962962963,6.577353868948416,0.0055555555555555,30.996678240740746,117811,249.64661654135332,Seattle,31,31
Houston,2018-06,463,4.398320034397249,2.261527777777778,5.840120534005093,0.0248726851851851,29.23988425925926,99995,189.15945330296128,Houston,30,30
LA_Long_Beach,2018-06,315,4.698658913874191,3.1278935185185186,5.951736960090162,0.00625,29.99792824074074,545768,258.3606557377049,LA_Long_Beach,30,30
NY_NJ,2018-06,303,3.140209937660433,1.2052314814814815,5.439630976629436,0.00625,29.999837962962964,120070,238.4046822742475,NY_NJ,30,30
Savannah,2018-06,199,2.0843695328494323,1.0193981481481482,4.347065755806117,0.0601041666666666,28.58513888888889,135378,262.1979695431472,Savannah,30,30
Seattle,2018-06,140,3.726083167989418,1.6270833333333332,5.931434092982617,0.0060416666666666,29.99410879629629,93800,251.17518248175185,Seattle,30,30
Houston,2018-07,488,4.714347084661505,2.311481481481481,6.324447507728762,0.020625,29.86673611111112,102310,188.86422413793105,Houston,31,31
LA_Long_Beach,2018-07,316,4.966959644573371,3.0447280092592592,6.375473538712226,0.0676273148148148,30.99962962962963,572294,262.8943894389439,LA_Long_Beach,31,31
NY_NJ,2018-07,308,3.085911683802309,1.444982638888889,4.939262108590449,0.015636574074074,30.999513888888888,121895,235.8394648829432,NY_NJ,31,31
Savannah,2018-07,203,1.467221880131363,0.9823726851851852,2.1162677206808054,0.0197685185185185,20.093391203703703,134367,263.845,Savannah,31,31
Seattle,2018-07,131,3.74375176703421,1.725625,5.773510073391996,0.0038425925925925,30.9959375,91591,259.992,Seattle,31,31
Houston,2018-08,468,4.797037605848369,2.5707407407407405,6.343822419697881,0.0128472222222222,29.802199074074075,111873,189.16,Houston,31,31
LA_Long_Beach,2018-08,316,4.563877937470698,3.0323379629629628,6.046802457299796,0.0124884259259259,30.99797453703704,533937,257.4901960784314,LA_Long_Beach,31,31
NY_NJ,2018-08,328,3.542210824582204,1.427488425925926,5.771582598612509,0.017037037037037,30.40978009259259,112357,235.2826086956522,NY_NJ,31,31
Savannah,2018-08,196,1.9269104898904008,0.9942997685185184,4.146677555412543,0.0994097222222222,29.65493055555556,137755,268.1589743589744,Savannah,31,31
Seattle,2018-08,123,3.6286983401084014,1.663113425925926,6.12756989614931,0.0058333333333333,30.998472222222222,75213,252.8595041322314,Seattle,31,31
Houston,2018-09,436,4.341789495200476,2.513912037037037,5.61748510053575,0.0244328703703703,27.97078703703704,98376,189.3857493857494,Houston,30,30
LA_Long_Beach,2018-09,311,5.037532675360247,3.066145833333333,6.235663295623323,0.03125,29.997939814814814,579840,256.7880794701987,LA_Long_Beach,30,30
NY_NJ,2018-09,296,3.2119098004254254,1.2100347222222223,5.423129843499543,0.0149189814814814,28.824525462962963,111330,235.08474576271183,NY_NJ,30,30
Savannah,2018-09,200,1.812983159722222,0.9805497685185184,3.546362882347626,0.0425925925925925,26.685219907407408,136855,266.4646464646465,Savannah,30,30
Seattle,2018-09,124,3.666837944295101,1.506099537037037,6.048794276315836,0.0,29.99795138888889,89515,251.78861788617888,Seattle,30,30
Houston,2018-10,439,4.3631740382181725,2.3425810185185183,5.618047432799935,0.023125,27.4896875,96776,187.64028776978412,Houston,31,31
LA_Long_Beach,2018-10,307,5.100839780130293,3.052604166666667,6.478787911435456,0.0475694444444444,30.9979050925926,568188,255.8896321070234,LA_Long_Beach,31,31
NY_NJ,2018-10,314,3.52881310450578,1.3243518518518518,5.870496239753465,0.0092592592592592,30.997777777777777,126280,236.29581993569133,NY_NJ,31,31
Savannah,2018-10,204,1.309009225217865,1.0030497685185185,1.5922905657429762,0.0748726851851851,21.40041666666667,128027,265.2722772277228,Savannah,31,31
Seattle,2018-10,118,4.029509376961707,1.7575347222222222,6.294211153817916,0.00375,30.998125,81949,256.646017699115,Seattle,31,31
Houston,2018-11,428,4.252687646028037,2.269398148148148,5.492954318632991,0.0078587962962962,26.444988425925924,92562,190.17199017199016,Houston,30,30
LA_Long_Beach,2018-11,274,5.003153470532577,2.937800925925926,6.588397214455399,0.0609953703703703,29.99792824074074,464387,261.0375939849624,LA_Long_Beach,30,30
NY_NJ,2018-11,261,3.471586224634596,1.402638888888889,5.8089507648471805,0.0174421296296296,29.99857638888889,90220,241.34509803921569,NY_NJ,30,30
Savannah,2018-11,184,1.6174706873993558,1.0440046296296297,2.947570756592774,0.0179398148148148,26.18810185185185,113268,263.0989010989011,Savannah,30,30
Seattle,2018-11,116,4.321193526500639,1.9414641203703704,6.883625617111451,0.0068634259259259,29.99792824074074,109312,255.3859649122807,Seattle,30,30
Houston,2018-12,426,4.567445878977569,2.270347222222222,6.248087105838882,0.0233680555555555,30.99716435185185,97044,191.13118811881188,Houston,31,31
LA_Long_Beach,2018-12,304,5.143874116715399,3.449033564814815,6.137763794695014,0.0756018518518518,30.999826388888888,542542,258.3801369863013,LA_Long_Beach,31,31
NY_NJ,2018-12,294,3.6444616087175614,1.3019270833333332,6.34546085251518,0.0159606481481481,30.99804398148148,118065,235.39084507042253,NY_NJ,31,31
Savannah,2018-12,168,1.600315600198413,1.0170833333333331,2.343276084503636,0.0808449074074074,21.846469907407407,121098,266.55757575757576,Savannah,31,31
Seattle,2018-12,119,4.697021086212263,1.977511574074074,7.358099568018879,0.0050694444444444,30.999895833333333,125434,249.135593220339,Seattle,31,31
Houston,2019-01,450,4.6944755658436215,2.316782407407408,6.209500138015352,0.0263888888888888,29.928125,97012,189.64788732394365,Houston,31,31
LA_Long_Beach,2019-01,305,5.981165300546448,3.986481481481481,6.581337977843672,0.0,30.99849537037037,612201,258.1740614334471,LA_Long_Beach,31,31
NY_NJ,2019-01,291,3.613604906452845,1.5367592592592592,5.6093751043590885,0.0134375,30.996944444444445,109244,238.8975265017668,NY_NJ,31,31
Savannah,2019-01,200,1.5251840856481482,1.0665856481481482,2.5110368001814285,0.0635879629629629,28.196550925925926,136013,266.7055837563452,Savannah,31,31
Seattle,2019-01,126,4.853297049529688,2.2824479166666665,7.476479063522815,0.0065393518518518,30.999930555555554,137786,256.3412698412698,Seattle,31,31
Houston,2019-02,369,4.3619595628826655,2.579236111111112,5.320684878464093,0.0111111111111111,27.818935185185182,93791,189.07954545454547,Houston,28,28
LA_Long_Beach,2019-02,275,4.87069537037037,3.167013888888889,5.731312850347503,0.0,27.998726851851853,467854,253.88345864661653,LA_Long_Beach,28,28
NY_NJ,2019-02,263,3.4986136635685114,1.459074074074074,5.611523486249884,0.0160763888888888,27.909884259259258,104432,241.75968992248065,NY_NJ,28,28
Savannah,2019-02,164,1.595878641598916,1.1399016203703702,2.2592775376878884,0.043287037037037,25.57607638888889,125353,258.42944785276075,Savannah,28,28
Seattle,2019-02,118,4.940655014124294,2.327065972222222,6.65504411772112,0.0,27.9979050925926,104390,239.05172413793105,Seattle,28,28
Houston,2019-03,419,4.691016087686732,2.5896064814814816,5.8048145421270565,0.0254629629629629,29.72775462962963,93252,191.12060301507532,Houston,31,31
LA_Long_Beach,2019-03,282,5.056976868268978,2.883755787037037,6.574896590564496,0.0238425925925925,30.99864583333333,468874,251.54379562043795,LA_Long_Beach,31,31
NY_NJ,2019-03,274,3.3161585901595028,1.3221238425925923,5.652704520440559,0.0157407407407407,30.99817129629629,87963,233.6804511278196,NY_NJ,31,31
Savannah,2019-03,197,1.7144572523030646,1.115972222222222,3.038660945433505,0.0084606481481481,30.99761574074074,143819,260.3541666666667,Savannah,31,31
Seattle,2019-03,125,4.011900185185185,1.6601273148148148,6.725213409292409,0.0032291666666666,30.997916666666665,76713,249.8292682926829,Seattle,31,31
Houston,2019-04,462,4.435275172358506,2.469519675925926,5.749293273794267,0.0124884259259259,28.97363425925926,102100,190.17620137299767,Houston,30,30
LA_Long_Beach,2019-04,275,5.14154393939394,3.2425810185185187,6.362482936642802,0.0352893518518518,29.999560185185185,510002,252.97426470588235,LA_Long_Beach,30,30
NY_NJ,2019-04,286,3.240664457070707,1.2035069444444444,5.421298532739857,0.0156018518518518,29.998078703703705,97498,234.2978723404256,NY_NJ,30,30
Savannah,2019-04,179,1.5164011742189116,0.9969907407407408,2.322972980195443,0.0151504629629629,21.24324074074074,118661,260.268156424581,Savannah,30,30
Seattle,2019-04,120,3.89299787808642,1.9485474537037035,5.65532682246778,0.0029166666666666,29.99912037037037,99221,249.0420168067227,Seattle,30,30
Houston,2019-05,452,5.164777839233039,2.5792534722222222,6.649617501340137,0.0097222222222222,30.25695601851852,98472,191.1322505800464,Houston,31,31
LA_Long_Beach,2019-05,279,5.473319685052436,3.192800925925926,6.893025492019612,0.0284837962962962,30.999525462962964,514633,251.16176470588235,LA_Long_Beach,31,31
NY_NJ,2019-05,305,2.988282559198543,1.2167476851851853,4.9320124580148725,0.0168981481481481,30.30707175925926,105558,234.0702341137124,NY_NJ,31,31
Savannah,2019-05,194,2.0350674159984727,1.028234953703704,4.213516079666904,0.1491319444444444,30.997546296296296,141571,257.2552083333333,Savannah,31,31
Seattle,2019-05,137,3.2068418829413354,1.3910300925925927,5.946793170205993,0.0067361111111111,30.99744212962963,77845,251.7348484848485,Seattle,31,31
