port,year,pollutant,extracted_category_sum,published_total,difference,rounding_tolerance,pass,reported_unit,page,source_file,source_sha256
POLB,2020,SOx,195.000000,195.000000,0.000000,1.950000,True,short_tons,57,polb_2020_air_emissions_inventory.pdf,7f4c547c8579fb03e95bacde9d92aecf0bf5bfd821f3a1ac4eab9de7154fb5ba
POLB,2020,CO,1876.000000,1876.000000,0.000000,18.760000,True,short_tons,57,polb_2020_air_emissions_inventory.pdf,7f4c547c8579fb03e95bacde9d92aecf0bf5bfd821f3a1ac4eab9de7154fb5ba
POLB,2020,HC,302.000000,301.000000,1.000000,3.010000,True,short_tons,57,polb_2020_air_emissions_inventory.pdf,7f4c547c8579fb03e95bacde9d92aecf0bf5bfd821f3a1ac4eab9de7154fb5ba
POLB,2020,CO2e,888711.000000,888712.000000,-1.000000,8887.120000,True,metric_tonnes,57,polb_2020_air_emissions_inventory.pdf,7f4c547c8579fb03e95bacde9d92aecf0bf5bfd821f3a1ac4eab9de7154fb5ba
POLA,2021,PM10,181.000000,182.000000,-1.000000,1.820000,True,short_tons,87,pola_2021_air_emissions_inventory.pdf,18f9857dbc1a7b54fa270cc545db670ceee32bc80c716094654336e8230b2597
POLA,2021,PM2.5,169.000000,168.000000,1.000000,1.680000,True,short_tons,87,pola_2021_air_emissions_inventory.pdf,18f9857dbc1a7b54fa270cc545db670ceee32bc80c716094654336e8230b2597
POLA,2021,DPM,136.000000,136.000000,0.000000,1.360000,True,short_tons,87,pola_2021_air_emissions_inventory.pdf,18f9857dbc1a7b54fa270cc545db670ceee32bc80c716094654336e8230b2597
POLA,2021,NOx,8728.000000,8729.000000,-1.000000,87.290000,True,short_tons,87,pola_2021_air_emissions_inventory.pdf,18f9857dbc1a7b54fa270cc545db670ceee32bc80c716094654336e8230b2597
POLA,2021,SOx,256.000000,255.000000,1.000000,2.550000,True,short_tons,87,pola_2021_air_emissions_inventory.pdf,18f9857dbc1a7b54fa270cc545db670ceee32bc80c716094654336e8230b2597
POLA,2021,CO,2040.000000,2040.000000,0.000000,20.400000,True,short_tons,87,pola_2021_air_emissions_inventory.pdf,18f9857dbc1a7b54fa270cc545db670ceee32bc80c716094654336e8230b2597
POLA,2021,HC,464.000000,464.000000,0.000000,4.640000,True,short_tons,87,pola_2021_air_emissions_inventory.pdf,18f9857dbc1a7b54fa270cc545db670ceee32bc80c716094654336e8230b2597
POLA,2021,CO2e,1253230.000000,1253229.000000,1.000000,12532.290000,True,metric_tonnes,87,pola_2021_air_emissions_inventory.pdf,18f9857dbc1a7b54fa270cc545db670ceee32bc80c716094654336e8230b2597
POLB,2021,PM10,174.000000,174.000000,0.000000,1.740000,True,short_tons,69,polb_2021_air_emissions_inventory.pdf,1eee08a5ba294b6dcdbfa0770cb408bee1722556281881d3600d407d0d3d2d0a
POLB,2021,PM2.5,160.000000,160.000000,0.000000,1.600000,True,short_tons,69,polb_2021_air_emissions_inventory.pdf,1eee08a5ba294b6dcdbfa0770cb408bee1722556281881d3600d407d0d3d2d0a
POLB,2021,DPM,111.000000,111.000000,0.000000,1.110000,True,short_tons,69,polb_2021_air_emissions_inventory.pdf,1eee08a5ba294b6dcdbfa0770cb408bee1722556281881d3600d407d0d3d2d0a
POLB,2021,NOx,7761.000000,7761.000000,0.000000,77.610000,True,short_tons,69,polb_2021_air_emissions_inventory.pdf,1eee08a5ba294b6dcdbfa0770cb408bee1722556281881d3600d407d0d3d2d0a
POLB,2021,SOx,277.000000,277.000000,0.000000,2.770000,True,short_tons,69,polb_2021_air_emissions_inventory.pdf,1eee08a5ba294b6dcdbfa0770cb408bee1722556281881d3600d407d0d3d2d0a
POLB,2021,CO,2169.000000,2168.000000,1.000000,21.680000,True,short_tons,69,polb_2021_air_emissions_inventory.pdf,1eee08a5ba294b6dcdbfa0770cb408bee1722556281881d3600d407d0d3d2d0a
POLB,2021,HC,343.000000,345.000000,-2.000000,3.450000,True,short_tons,69,polb_2021_air_emissions_inventory.pdf,1eee08a5ba294b6dcdbfa0770cb408bee1722556281881d3600d407d0d3d2d0a
POLB,2021,CO2e,1188884.000000,1188884.000000,0.000000,11888.840000,True,metric_tonnes,69,polb_2021_air_emissions_inventory.pdf,1eee08a5ba294b6dcdbfa0770cb408bee1722556281881d3600d407d0d3d2d0a
POLA,2022,PM10,122.000000,123.000000,-1.000000,1.230000,True,short_tons,81,pola_2022_air_emissions_inventory.pdf,253c3befde12ed8c20c8b906bfc52f8f9cce8cc28a93e43aab4968083c3d2b1d
POLA,2022,PM2.5,113.000000,113.000000,0.000000,1.130000,True,short_tons,81,pola_2022_air_emissions_inventory.pdf,253c3befde12ed8c20c8b906bfc52f8f9cce8cc28a93e43aab4968083c3d2b1d
POLA,2022,DPM,98.000000,98.000000,0.000000,1.000000,True,short_tons,81,pola_2022_air_emissions_inventory.pdf,253c3befde12ed8c20c8b906bfc52f8f9cce8cc28a93e43aab4968083c3d2b1d
POLA,2022,NOx,5765.000000,5765.000000,0.000000,57.650000,True,short_tons,81,pola_2022_air_emissions_inventory.pdf,253c3befde12ed8c20c8b906bfc52f8f9cce8cc28a93e43aab4968083c3d2b1d
POLA,2022,SOx,136.000000,136.000000,0.000000,1.360000,True,short_tons,81,pola_2022_air_emissions_inventory.pdf,253c3befde12ed8c20c8b906bfc52f8f9cce8cc28a93e43aab4968083c3d2b1d
POLA,2022,CO,1662.000000,1662.000000,0.000000,16.620000,True,short_tons,81,pola_2022_air_emissions_inventory.pdf,253c3befde12ed8c20c8b906bfc52f8f9cce8cc28a93e43aab4968083c3d2b1d
POLA,2022,HC,341.000000,341.000000,0.000000,3.410000,True,short_tons,81,pola_2022_air_emissions_inventory.pdf,253c3befde12ed8c20c8b906bfc52f8f9cce8cc28a93e43aab4968083c3d2b1d
POLA,2022,CO2e,974069.000000,974069.000000,0.000000,9740.690000,True,metric_tonnes,81,pola_2022_air_emissions_inventory.pdf,253c3befde12ed8c20c8b906bfc52f8f9cce8cc28a93e43aab4968083c3d2b1d
