port_complex_id,port_complex_name,coast,component_port_codes,geometry_version,source_vintage,operational_rule
paulsboro_nj,"Paulsboro, Nj",Atlantic,1105,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
pensacola_fl,"Pensacola, Fl",Gulf,1819,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
perth_amboy_nj,"Perth Amboy, Nj",Atlantic,1004,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
philadelphia_pa,"Philadelphia, Pa",Atlantic,1101,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
plymouth_ma,"Plymouth, Ma",Atlantic,0406,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
port_angeles_wa,"Port Angeles, Wa",Pacific,3007,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
port_arthur_tx,"Port Arthur, Tx",Gulf,2101,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
port_canaveral_fl,"Port Canaveral, Fl",Atlantic,1816,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
port_everglades_fl,"Port Everglades, Fl",Atlantic,5203,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
port_hueneme_ca,"Port Hueneme, Ca",Pacific,2713,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
port_lavaca_tx,"Port Lavaca, Tx",Gulf,5313,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
port_manatee_fl,"Port Manatee, Fl",Gulf,1821,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
port_san_luis_ca,"Port San Luis, Ca",Pacific,2707,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
port_sulphur_la,"Port Sulphur, La",Gulf,2005,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
port_townsend_wa,"Port Townsend, Wa",Pacific,3008,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
portland_me,"Portland, Me",Atlantic,0101,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
portland_or,"Portland, Or",Pacific,2904,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
portsmouth_nh,"Portsmouth, Nh",Atlantic,0131,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
providence_ri,"Providence, Ri",Atlantic,0502,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
redwood_city_ca,"Redwood City, Ca",Pacific,2821,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
