MMSI,Port,YearMonth,anchor_hours,berth_hours,manoeuvre_hours,transit_hours,unknown_hoteling_hours,total_mode_hours
352492000,LA_Long_Beach,2009-03,0.0,51.7,0.0,0.0,0.8833333333333333,52.583333333333336
352506000,LA_Long_Beach,2009-03,0.03333333333333333,60.26666666666667,0.0,0.0,0.9333333333333333,61.233333333333334
352622000,LA_Long_Beach,2009-03,0.5833333333333334,20.366666666666667,0.0,0.0,1.6166666666666667,22.566666666666666
352670000,LA_Long_Beach,2009-03,0.2833333333333333,23.0,0.0,0.0,0.43333333333333335,23.71666666666667
352691000,LA_Long_Beach,2009-03,6.8500000000000005,13.566666666666666,0.0,0.0,1.0166666666666666,21.433333333333334
352698000,LA_Long_Beach,2009-03,18.25,48.91666666666667,0.0,0.0,2.033333333333333,69.2
352804000,LA_Long_Beach,2009-03,0.0,68.58333333333334,0.0,0.0,2.0166666666666666,70.60000000000001
352887000,LA_Long_Beach,2009-03,0.5166666666666666,89.0,0.0,0.0,1.4166666666666667,90.93333333333334
352917000,LA_Long_Beach,2009-03,0.0,47.233333333333334,0.0,0.0,1.9833333333333334,49.21666666666667
352981000,LA_Long_Beach,2009-03,356.6,0.23333333333333334,0.0,0.0,3.283333333333333,360.11666666666673
353339000,LA_Long_Beach,2009-03,11.116666666666667,0.0,0.0,0.0,0.9333333333333333,12.05
353389000,LA_Long_Beach,2009-03,0.7166666666666667,84.16666666666667,0.0,0.0,1.1333333333333333,86.01666666666668
353577000,LA_Long_Beach,2009-03,6.45,46.333333333333336,0.0,0.0,1.1333333333333333,53.91666666666667
353934000,LA_Long_Beach,2009-03,8.200000000000001,49.61666666666667,0.0,0.0,1.4666666666666666,59.28333333333334
353954000,LA_Long_Beach,2009-03,0.5166666666666666,48.1,0.0,0.0,1.2833333333333332,49.9
354115000,LA_Long_Beach,2009-03,0.0,48.6,0.0,0.0,2.0666666666666664,50.66666666666667
354334000,LA_Long_Beach,2009-03,0.016666666666666666,13.216666666666667,0.0,0.0,1.8833333333333333,15.116666666666667
354337000,LA_Long_Beach,2009-03,0.15,41.2,0.0,0.0,1.9166666666666667,43.266666666666666
354367000,LA_Long_Beach,2009-03,0.25,35.31666666666667,0.0,0.0,0.75,36.31666666666667
354415000,LA_Long_Beach,2009-03,0.6333333333333333,23.366666666666667,0.0,0.0,1.7,25.7
354450000,LA_Long_Beach,2009-03,0.0,40.3,0.0,0.0,1.9666666666666666,42.266666666666666
354486000,LA_Long_Beach,2009-03,0.05,36.18333333333334,0.0,0.0,2.15,38.38333333333333
354490000,LA_Long_Beach,2009-03,0.03333333333333333,14.833333333333334,0.0,0.0,1.8499999999999999,16.71666666666667
354552000,LA_Long_Beach,2009-03,9.416666666666668,54.96666666666667,0.0,0.0,2.8333333333333335,67.21666666666667
354591000,LA_Long_Beach,2009-03,0.65,18.416666666666668,0.0,0.0,1.4666666666666666,20.53333333333333
354614000,LA_Long_Beach,2009-03,0.0,60.300000000000004,0.0,0.0,0.9,61.2
354706000,LA_Long_Beach,2009-03,31.5,62.26666666666667,0.0,0.0,2.05,95.81666666666668
354812000,LA_Long_Beach,2009-03,0.5166666666666666,47.7,0.0,0.0,1.2166666666666666,49.43333333333334
354816000,LA_Long_Beach,2009-03,0.5166666666666666,48.150000000000006,0.0,0.0,1.1833333333333333,49.85
354969000,LA_Long_Beach,2009-03,125.13333333333334,61.766666666666666,0.0,0.0,1.1333333333333333,188.03333333333333
355034000,LA_Long_Beach,2009-03,0.0,74.63333333333334,0.0,0.0,2.05,76.68333333333334
355038000,LA_Long_Beach,2009-03,15.066666666666668,0.0,0.0,0.0,0.8833333333333333,15.950000000000001
355109000,LA_Long_Beach,2009-03,0.0,15.133333333333335,0.0,0.0,2.4833333333333334,17.616666666666667
355149000,LA_Long_Beach,2009-03,0.0,73.53333333333333,0.0,0.0,0.95,74.48333333333333
355170000,LA_Long_Beach,2009-03,3.7333333333333334,37.016666666666666,0.0,0.0,1.0666666666666667,41.81666666666667
355186000,LA_Long_Beach,2009-03,0.5166666666666666,86.06666666666668,0.0,0.0,1.6666666666666667,88.25000000000001
355275000,LA_Long_Beach,2009-03,0.0,19.983333333333334,0.0,0.0,2.533333333333333,22.516666666666666
355291000,LA_Long_Beach,2009-03,50.63333333333333,54.13333333333333,0.0,0.0,1.2666666666666666,106.03333333333333
355521000,LA_Long_Beach,2009-03,10.700000000000001,0.0,0.0,0.0,0.9666666666666667,11.666666666666668
355590000,LA_Long_Beach,2009-03,0.0,1.7833333333333334,0.0,0.0,1.05,2.8333333333333335
355688000,LA_Long_Beach,2009-03,6.95,17.05,0.0,0.0,0.36666666666666664,24.366666666666667
355696000,LA_Long_Beach,2009-03,0.9166666666666666,30.233333333333334,0.0,0.0,2.15,33.300000000000004
355989000,LA_Long_Beach,2009-03,11.416666666666668,103.35000000000001,0.0,0.0,0.45,115.21666666666668
356263000,LA_Long_Beach,2009-03,0.5666666666666667,38.333333333333336,0.0,0.0,1.2,40.10000000000001
356287000,LA_Long_Beach,2009-03,0.5333333333333333,23.566666666666666,0.0,0.0,1.5999999999999999,25.700000000000003
356626000,LA_Long_Beach,2009-03,0.03333333333333333,12.366666666666667,0.0,0.0,1.3166666666666667,13.716666666666667
356872000,LA_Long_Beach,2009-03,0.0,69.5,0.0,0.0,2.283333333333333,71.78333333333333
356933000,LA_Long_Beach,2009-03,0.03333333333333333,24.71666666666667,0.0,0.0,2.1333333333333333,26.883333333333336
357132000,LA_Long_Beach,2009-03,0.0,44.31666666666667,0.0,0.0,1.9666666666666666,46.28333333333334
357323000,LA_Long_Beach,2009-03,0.0,36.81666666666667,0.0,0.0,2.283333333333333,39.1
357458000,LA_Long_Beach,2009-03,0.8833333333333333,0.016666666666666666,0.0,0.0,0.36666666666666664,1.2666666666666666
357493000,LA_Long_Beach,2009-03,5.166666666666667,39.083333333333336,0.0,0.0,3.933333333333333,48.18333333333333
357665000,LA_Long_Beach,2009-03,0.35,75.9,0.0,0.0,1.5,77.75
357712000,LA_Long_Beach,2009-03,0.55,59.800000000000004,0.0,0.0,1.3166666666666667,61.66666666666667
357939000,LA_Long_Beach,2009-03,0.0,36.75,0.0,0.0,1.7,38.45
357977000,LA_Long_Beach,2009-03,0.0,36.733333333333334,0.0,0.0,1.8166666666666667,38.550000000000004
366234000,LA_Long_Beach,2009-03,49.266666666666666,124.15,0.0,0.0,10.5,183.91666666666669
