YearMonth,Port,status,seconds
2012-07,Houston,error:download failed after 2 tries: truncated download: 2211412 of 2251380760 b,786
2012-04,Houston,error:download failed after 2 tries: truncated download: 12942932 of 2163515423 ,1286
2012-08,Houston,ok,619
2012-09,Houston,ok,601
2012-06,Houston,ok,1593
2012-10,Houston,error:download failed after 2 tries: truncated download: 704084 of 2301550814 by,684
2013-01,Houston,error:download failed after 2 tries: truncated download: 720468 of 2427041540 by,23
2012-11,Houston,error:download failed after 2 tries: truncated download: 704084 of 2461274204 by,463
2013-03,Houston,error:download failed after 2 tries: truncated download: 704084 of 2279714707 by,30
2013-04,Houston,error:download failed after 2 tries: truncated download: 704084 of 2255475924 by,263
2012-12,Houston,ok,571
2013-06,Houston,ok,768
2013-02,Houston,ok,1241
2013-07,Houston,error:download failed after 2 tries: truncated download: 704084 of 2585803168 by,1082
2013-08,Houston,ok,833
2013-09,Houston,error:download failed after 2 tries: truncated download: 1654356 of 2464372076 b,804
2013-11,Houston,ok,541
2014-01,Houston,ok,521
2013-05,Houston,error:download failed after 2 tries: truncated download: 704084 of 2295063350 by,2928
2013-12,Houston,ok,1006
2014-03,Houston,error:download failed after 2 tries: truncated download: 3898964 of 2186301599 b,270
2013-10,Houston,error:download failed after 2 tries: truncated download: 1605204 of 2659201811 b,1784
2014-02,Houston,ok,787
2014-06,Houston,error:download failed after 2 tries: truncated download: 2047572 of 2199314039 b,532
2014-07,Houston,ok,589
2014-04,Houston,ok,1449
2014-09,Houston,ok,527
2014-11,Houston,ok,50
2014-08,Houston,ok,1471
2014-12,Houston,ok,504
2014-05,Houston,ok,2230
2014-10,Houston,ok,1070
2014-11,Seattle,no_cargo,2
2010-10,Savannah,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,9
2010-10,NY_NJ,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,9
2014-09,Savannah,empty,58
2009-11,Houston,ok,531
2012-01,Houston,ok,589
2010-12,Houston,ok,1114
2010-05,Houston,ok,1114
2011-11,Houston,error:download failed after 2 tries: truncated download: 2604628 of 1894241239 b,1354
2012-03,Houston,ok,852
2012-04,Houston,ok,1007
2012-02,Houston,ok,1007
2012-10,Houston,ok,706
2012-07,Houston,ok,2121
2013-03,Houston,ok,853
2012-11,Houston,ok,1403
2013-01,Houston,ok,1403
2013-04,Houston,ok,1054
2013-05,Houston,ok,1181
2013-09,Houston,ok,1424
2013-07,Houston,ok,1640
2013-10,Houston,ok,847
2014-03,Houston,ok,814
2014-06,Houston,ok,799
2011-11,Houston,ok,278
