site,ym,gap,congestion,congestion_k,congestion_lead3,congestion_lead3_k
1302,2022-03,-9.43083612040134,13487.907500000001,13.4879075,13386.518333333333,13.386518333333333
1302,2022-04,-6.1741807909604525,13458.675555555556,13.458675555555555,14904.4325,14.9044325
1302,2022-05,-4.017391304347825,12767.721944444444,12.767721944444444,14318.552777777779,14.318552777777779
1302,2022-06,-0.03650793650793549,13386.518333333333,13.386518333333333,13036.468055555555,13.036468055555556
1302,2022-07,1.7585674015906605,14904.4325,14.9044325,12207.702500000001,12.207702500000002
1302,2022-08,0.15205314009661564,14318.552777777779,14.318552777777779,11983.621111111112,11.98362111111111
1302,2022-09,-4.225993686325152,13036.468055555555,13.036468055555556,13209.761666666667,13.209761666666667
1302,2022-10,-2.3615003750937706,12207.702500000001,12.207702500000002,12661.559722222222,12.661559722222222
1302,2022-11,-12.82220318484176,11983.621111111112,11.98362111111111,9096.788055555557,9.096788055555557
1302,2022-12,-11.047649717514124,13209.761666666667,13.209761666666667,,
1302,2023-01,-14.396522396522396,12661.559722222222,12.661559722222222,,
1302,2023-02,-14.914749780509224,9096.788055555557,9.096788055555557,9790.4575,9.7904575
1302,2023-05,-1.670212765957447,9790.4575,9.7904575,10032.185833333333,10.032185833333333
1302,2023-06,-0.8450564971751415,9446.03611111111,9.44603611111111,9618.458611111111,9.61845861111111
1302,2023-07,0.8881522770398496,10364.913611111111,10.364913611111112,9189.479166666666,9.189479166666667
1302,2023-08,0.6484784679400413,10032.185833333333,10.032185833333333,9710.169722222223,9.710169722222222
1302,2023-09,-1.6681690140845076,9618.458611111111,9.61845861111111,11126.475277777778,11.126475277777777
1302,2023-10,-5.630488186512284,9189.479166666666,9.189479166666667,10754.273055555555,10.754273055555556
1302,2023-11,-13.511332533013205,9710.169722222223,9.710169722222222,11103.580555555556,11.103580555555556
1302,2023-12,-11.334782608695646,11126.475277777778,11.126475277777777,11958.888611111111,11.958888611111112
4006,2019-01,-8.753407407407412,10950.871111111112,10.95087111111111,9966.03388888889,9.966033888888889
4006,2019-02,-6.0223388743073745,8186.567222222223,8.186567222222223,10099.349444444444,10.099349444444444
4006,2019-03,-9.523373313343328,8889.297777777778,8.889297777777777,10159.263333333334,10.159263333333334
4006,2019-04,-0.6388451805843101,9966.03388888889,9.966033888888889,9705.84861111111,9.70584861111111
4006,2019-05,-3.4688636900543326,10099.349444444444,10.099349444444444,8675.2975,8.675297500000001
4006,2019-06,-0.5383308514958731,10159.263333333334,10.159263333333334,9351.215833333334,9.351215833333333
4006,2019-07,-2.920848595848593,9705.84861111111,9.70584861111111,11721.70611111111,11.72170611111111
4006,2019-08,-3.454589963280293,8675.2975,8.675297500000001,9195.142222222223,9.195142222222223
4006,2019-09,-6.450433168316829,9351.215833333334,9.351215833333333,12127.169444444444,12.127169444444444
4006,2019-10,-13.87550144927536,11721.70611111111,11.72170611111111,11567.952222222222,11.567952222222223
4006,2019-11,-7.778746867167921,9195.142222222223,9.195142222222223,9193.380555555555,9.193380555555555
4006,2019-12,-2.1538569424964926,12127.169444444444,12.127169444444444,9627.913055555557,9.627913055555556
4008,2019-01,-20.42264360841424,10950.871111111112,10.95087111111111,9966.03388888889,9.966033888888889
4008,2019-02,-16.16743328910512,8186.567222222223,8.186567222222223,10099.349444444444,10.099349444444444
4008,2019-03,-16.511557596632226,8889.297777777778,8.889297777777777,10159.263333333334,10.159263333333334
4008,2019-04,-6.086812500000001,9966.03388888889,9.966033888888889,9705.84861111111,9.70584861111111
4008,2019-05,-14.861676249447148,10099.349444444444,10.099349444444444,8675.2975,8.675297500000001
4008,2019-06,-6.552491849091753,10159.263333333334,10.159263333333334,9351.215833333334,9.351215833333333
4008,2019-07,-6.216398775353998,9705.84861111111,9.70584861111111,11721.70611111111,11.72170611111111
4008,2019-08,-7.5696448863636405,8675.2975,8.675297500000001,9195.142222222223,9.195142222222223
4008,2019-09,-13.731550922453879,9351.215833333334,9.351215833333333,12127.169444444444,12.127169444444444
4008,2019-10,-24.906532288167224,11721.70611111111,11.72170611111111,11567.952222222222,11.567952222222223
4008,2019-11,-13.826659274512906,9195.142222222223,9.195142222222223,9193.380555555555,9.193380555555555
4008,2019-12,-10.25991356731273,12127.169444444444,12.127169444444444,9627.913055555557,9.627913055555556
4008,2020-01,-20.08492424242424,11567.952222222222,11.567952222222223,12260.20388888889,12.260203888888888
