date,all_u_s_container_ports,los_angeles_long_beach,savannah,all_other_ports,days_included,low_0-50nm,low_50-150nm,low_150-300nm,low_total_0_300,movement_total_0_300
2021-11-02 00:00:00+00:00,118.0,77.0,23.0,18.0,7,2637.8571428571427,249.57142857142858,54.0,2941.4285714285716,406.14285714285717
2021-11-09 00:00:00+00:00,122.0,81.0,15.0,26.0,7,2601.8571428571427,279.85714285714283,51.285714285714285,2933.0,389.42857142857144
2021-11-16 00:00:00+00:00,123.0,86.0,20.0,17.0,7,2613.1428571428573,341.0,75.28571428571429,3029.4285714285716,436.7142857142857
2021-11-23 00:00:00+00:00,100.0,61.0,14.0,25.0,7,2452.0,394.57142857142856,147.85714285714286,2994.4285714285716,438.42857142857144
2021-11-30 00:00:00+00:00,86.0,44.0,16.0,26.0,7,2112.714285714286,229.28571428571428,260.14285714285717,2602.1428571428573,443.57142857142856
2021-12-07 00:00:00+00:00,118.0,92.0,9.0,17.0,6,2021.5,207.0,293.3333333333333,2521.8333333333335,366.1666666666667
2021-12-14 00:00:00+00:00,124.0,101.0,8.0,15.0,7,1620.142857142857,216.85714285714286,423.14285714285717,2260.1428571428573,512.7142857142857
2021-12-21 00:00:00+00:00,112.0,91.0,0.0,21.0,7,1613.857142857143,284.7142857142857,506.57142857142856,2405.1428571428573,483.2857142857143
2021-12-29 00:00:00+00:00,127.0,91.0,3.0,33.0,7,1449.7142857142858,282.7142857142857,604.1428571428571,2336.5714285714284,404.14285714285717
2022-01-05 00:00:00+00:00,140.0,101.0,1.0,38.0,7,1184.4285714285713,260.2857142857143,533.4285714285714,1978.142857142857,345.0
2022-01-12 00:00:00+00:00,143.0,104.0,6.0,33.0,7,1412.142857142857,271.14285714285717,764.1428571428571,2447.4285714285716,473.0
2022-01-19 00:00:00+00:00,142.0,100.0,6.0,36.0,7,1414.7142857142858,198.85714285714286,854.5714285714286,2468.1428571428573,432.0
2022-02-01 00:00:00+00:00,155.0,101.0,0.0,34.0,7,1194.2857142857142,185.42857142857142,784.2857142857143,2164.0,506.42857142857144
2022-02-08 00:00:00+00:00,141.0,78.0,2.0,61.0,7,1124.2857142857142,175.0,746.1428571428571,2045.4285714285713,498.85714285714283
2022-02-15 00:00:00+00:00,147.0,75.0,4.0,68.0,7,977.5714285714286,195.14285714285714,655.2857142857143,1828.0,477.0
2022-02-22 00:00:00+00:00,138.0,66.0,1.0,71.0,7,1155.142857142857,215.42857142857142,521.0,1891.5714285714287,495.57142857142856
2022-03-01 00:00:00+00:00,117.0,60.0,0.0,57.0,7,1150.5714285714287,194.71428571428572,361.85714285714283,1707.142857142857,479.85714285714283
2022-03-08 00:00:00+00:00,116.0,52.0,1.0,63.0,7,1106.7142857142858,219.57142857142858,348.7142857142857,1675.0,465.14285714285717
2022-03-15 00:00:00+00:00,106.0,43.0,0.0,63.0,7,981.2857142857143,181.14285714285714,365.0,1527.4285714285713,521.8571428571429
2022-03-22 00:00:00+00:00,112.0,42.0,3.0,67.0,7,1033.857142857143,204.57142857142858,205.14285714285714,1443.5714285714287,535.0
2022-03-29 00:00:00+00:00,101.0,43.0,0.0,58.0,7,1093.4285714285713,184.85714285714286,353.85714285714283,1632.142857142857,507.14285714285717
2022-04-05 00:00:00+00:00,86.0,35.0,4.0,47.0,7,1082.0,149.71428571428572,241.57142857142858,1473.2857142857142,473.42857142857144
2022-04-12 00:00:00+00:00,107.0,46.0,7.0,54.0,7,1072.4285714285713,173.71428571428572,222.0,1468.142857142857,401.14285714285717
2022-04-19 00:00:00+00:00,103.0,51.0,5.0,47.0,7,1058.5714285714287,154.0,259.42857142857144,1472.0,490.2857142857143
2022-04-26 00:00:00+00:00,92.0,45.0,5.0,42.0,7,1014.7142857142857,138.14285714285714,276.42857142857144,1429.2857142857142,443.57142857142856
2022-05-03 00:00:00+00:00,82.0,34.0,5.0,43.0,7,977.7142857142857,120.14285714285714,265.2857142857143,1363.142857142857,522.8571428571429
2022-05-10 00:00:00+00:00,61.0,35.0,1.0,25.0,7,964.0,126.28571428571429,183.14285714285714,1273.4285714285713,393.0
2022-05-17 00:00:00+00:00,74.0,37.0,2.0,35.0,7,954.5714285714286,141.85714285714286,193.14285714285714,1289.5714285714287,444.0
2022-05-24 00:00:00+00:00,71.0,27.0,12.0,32.0,7,933.0,137.28571428571428,270.85714285714283,1341.142857142857,487.2857142857143
