Port,YearMonth,gap_threshold_h,MeanDwellDays_segmented,MedianDwellDays_segmented,UniqueCalls,UniqueVessels,correlation_with_primary_series
Savannah,2011-01,12,1.0626186868686869,0.7951388888888888,275,232,0.48107441684487784
Savannah,2011-02,12,1.010399011299435,0.7868055555555555,236,213,0.48107441684487784
Savannah,2011-03,12,0.9971426218708828,0.7819444444444444,253,229,0.48107441684487784
Savannah,2011-04,12,0.9847083886675521,0.8055555555555556,251,234,0.48107441684487784
Savannah,2011-05,12,1.0559281842818429,0.7875,246,230,0.48107441684487784
Savannah,2011-06,12,1.0612818287037036,0.8427083333333334,240,225,0.48107441684487784
Savannah,2011-07,12,1.0809504357298474,0.8645833333333334,255,238,0.48107441684487784
Savannah,2011-08,12,1.1161588350465002,0.8416666666666667,227,214,0.48107441684487784
Savannah,2011-09,12,1.0829096954096953,0.7715277777777778,259,238,0.48107441684487784
Savannah,2011-10,12,1.2144793072424651,0.8381944444444445,247,234,0.48107441684487784
Savannah,2011-11,12,1.0883649553571428,0.7954861111111111,224,217,0.48107441684487784
Savannah,2011-12,12,1.0539391762452106,0.7552083333333333,232,218,0.48107441684487784
Savannah,2012-01,12,0.9795721450617284,0.7194560185185185,210,199,0.48107441684487784
Savannah,2012-02,12,1.152671263539483,0.8208854166666666,212,202,0.48107441684487784
Savannah,2012-03,12,1.2351044868979653,0.8396180555555556,253,245,0.48107441684487784
Savannah,2012-04,12,1.0310559312053282,0.7977546296296296,228,221,0.48107441684487784
Savannah,2012-05,12,1.0701880787037037,0.8417592592592593,232,222,0.48107441684487784
Savannah,2012-06,12,1.0609480042016808,0.7831192129629629,238,229,0.48107441684487784
Savannah,2012-07,12,1.0897686170212766,0.8163310185185185,235,226,0.48107441684487784
Savannah,2012-08,12,1.0633601046698873,0.7898784722222222,230,221,0.48107441684487784
Savannah,2012-09,12,1.1342304964539007,0.7993287037037037,235,223,0.48107441684487784
Savannah,2012-10,12,1.0229696235150245,0.8276967592592592,212,207,0.48107441684487784
Savannah,2012-11,12,1.1389208743842365,0.799050925925926,203,198,0.48107441684487784
Savannah,2012-12,12,1.2998221103212217,0.9556134259259259,211,207,0.48107441684487784
Savannah,2013-01,12,1.0827891281982465,0.8149537037037037,207,195,0.48107441684487784
Savannah,2013-02,12,1.2477950117012617,0.8972858796296297,182,179,0.48107441684487784
Savannah,2013-03,12,1.223066668969965,0.8328356481481481,201,193,0.48107441684487784
Savannah,2013-04,12,1.0920224666290654,0.8469212962962963,197,194,0.48107441684487784
Savannah,2013-05,12,1.1077761164274322,0.8403240740740741,209,204,0.48107441684487784
Savannah,2013-06,12,1.1441813743328482,0.8303703703703704,229,221,0.48107441684487784
Savannah,2013-07,12,1.0793958912037036,0.78765625,200,195,0.48107441684487784
Savannah,2013-08,12,1.1661310354304075,0.8386805555555555,219,215,0.48107441684487784
Savannah,2013-09,12,1.0585809942796198,0.8095138888888889,191,187,0.48107441684487784
Savannah,2013-10,12,1.136955183849715,0.8722395833333334,208,205,0.48107441684487784
Savannah,2013-11,12,1.1403363857116922,0.8096527777777778,204,200,0.48107441684487784
Savannah,2013-12,12,1.1314340920781893,0.8413773148148148,180,178,0.48107441684487784
Savannah,2014-01,12,1.298589647452617,0.9345023148148148,213,206,0.48107441684487784
Savannah,2014-02,12,1.2799085005144033,1.005630787037037,180,180,0.48107441684487784
Savannah,2014-03,12,1.2484976633473095,0.930769675925926,212,206,0.48107441684487784
Savannah,2014-04,12,1.2059945023148149,0.8559201388888888,200,191,0.48107441684487784
Savannah,2014-05,12,1.1222822061191626,0.8381944444444445,230,223,0.48107441684487784
Savannah,2014-06,12,1.2512198406339032,0.8355613425925926,208,205,0.48107441684487784
Savannah,2014-07,12,1.2661812988447163,0.8817534722222222,218,213,0.48107441684487784
Savannah,2014-08,12,0.7208062347527168,0.6719560185185185,167,145,0.48107441684487784
Savannah,2014-10,12,0.0065451388888888885,0.0065451388888888885,2,2,0.48107441684487784
Savannah,2014-11,12,0.05042989417989418,0.010775462962962962,7,7,0.48107441684487784
Savannah,2014-12,12,1.379470380892256,0.9915162037037037,220,216,0.48107441684487784
Savannah,2015-01,12,1.1418753733572282,0.9147685185185185,155,147,0.48107441684487784
Savannah,2015-02,12,1.2427943363071101,0.9715972222222222,137,129,0.48107441684487784
Savannah,2015-03,12,1.2048801309271053,1.0397222222222222,157,148,0.48107441684487784
Savannah,2015-04,12,1.1505652527527528,0.9175636574074073,148,137,0.48107441684487784
Savannah,2015-05,12,1.2142523010361552,0.992025462962963,168,161,0.48107441684487784
Savannah,2015-06,12,1.1702422288359788,0.9784317129629629,154,149,0.48107441684487784
Savannah,2015-07,12,1.0367109869015358,0.8167766203703704,164,155,0.48107441684487784
Savannah,2015-08,12,1.0872697109988776,0.8515046296296296,165,158,0.48107441684487784
Savannah,2015-09,12,0.9894107543052607,0.805324074074074,157,151,0.48107441684487784
Savannah,2015-10,12,1.0682108880984642,0.815162037037037,164,157,0.48107441684487784
Savannah,2015-11,12,0.9590446200510855,0.7942592592592592,145,136,0.48107441684487784
Savannah,2015-12,12,1.1303998037772873,0.8399189814814815,151,142,0.48107441684487784
Savannah,2016-01,12,1.1258333333333332,0.8666782407407407,163,152,0.48107441684487784
Savannah,2016-02,12,0.9656091820987655,0.82515625,90,88,0.48107441684487784
Savannah,2016-03,12,1.006091625644632,0.8099305555555556,79,76,0.48107441684487784
Savannah,2016-04,12,1.008884996722386,0.8155208333333334,113,104,0.48107441684487784
Savannah,2016-05,12,1.0740426391628315,0.791412037037037,169,159,0.48107441684487784
Savannah,2016-06,12,1.0870483024691358,0.8167708333333333,150,143,0.48107441684487784
Savannah,2016-07,12,1.1957172958214624,0.90359375,156,145,0.48107441684487784
Savannah,2016-08,12,1.124648522603486,0.8335532407407408,136,129,0.48107441684487784
Savannah,2016-09,12,1.156110097323601,0.9286111111111112,137,131,0.48107441684487784
Savannah,2016-10,12,1.1810052910052908,0.9256886574074075,140,132,0.48107441684487784
Savannah,2016-11,12,1.1596958401416122,0.9489641203703704,136,128,0.48107441684487784
Savannah,2016-12,12,1.215494341563786,0.9637847222222222,135,121,0.48107441684487784
Savannah,2017-01,12,1.1686047408842952,1.0591550925925926,129,119,0.48107441684487784
Savannah,2017-02,12,1.2338462577160494,1.0055439814814815,120,116,0.48107441684487784
Savannah,2017-03,12,1.136121821448314,0.9608506944444444,134,127,0.48107441684487784
Savannah,2017-04,12,1.0797785143097642,0.9355960648148148,132,125,0.48107441684487784
