YearMonth,Port,status,seconds
2012-05,Seattle,ok,400
2012-08,Seattle,ok,314
2012-09,Seattle,ok,340
2012-10,Seattle,ok,391
2012-11,Seattle,ok,485
2012-12,Seattle,ok,265
2013-01,Seattle,ok,286
2013-02,Seattle,ok,254
2013-03,Seattle,ok,343
2013-04,Seattle,ok,343
2013-05,Seattle,ok,335
2013-06,Seattle,ok,320
2013-07,Seattle,ok,366
2013-08,Seattle,ok,410
2013-09,Seattle,ok,458
2013-10,Seattle,ok,392
2013-12,Seattle,ok,285
2013-11,Seattle,ok,330
2014-02,Seattle,ok,242
2014-01,Seattle,ok,283
2014-03,Seattle,ok,360
2014-04,Seattle,ok,361
2014-06,Seattle,ok,338
2014-05,Seattle,ok,380
2014-07,Seattle,ok,312
2014-08,Seattle,ok,312
2014-11,Seattle,no_cargo,2
2014-10,Seattle,ok,283
2014-09,Seattle,ok,333
2014-12,Seattle,ok,320
2009-01,Houston,ok,503
2009-02,Houston,ok,571
2009-06,Houston,ok,59
2009-05,Houston,ok,355
2009-07,Houston,ok,495
2009-08,Houston,ok,394
2009-09,Houston,ok,407
2009-10,Houston,ok,468
2009-11,Houston,ok,404
2009-12,Houston,ok,412
2010-02,Houston,ok,380
2009-04,Houston,ok,2195
2009-03,Houston,ok,2403
2010-01,Houston,ok,515
2010-05,Houston,ok,802
2010-04,Houston,ok,802
2010-03,Houston,ok,802
2010-06,Houston,ok,802
2010-07,Houston,ok,668
2010-09,Houston,ok,737
2010-10,Houston,ok,823
2010-08,Houston,ok,920
2010-12,Houston,ok,530
2010-11,Houston,ok,600
2011-04,Houston,ok,546
2011-03,Houston,ok,546
2011-05,Houston,ok,427
2011-06,Houston,ok,484
2011-07,Houston,ok,427
2011-08,Houston,ok,421
2011-02,Houston,ok,2364
2011-10,Houston,ok,566
2011-01,Houston,ok,2461
2011-09,Houston,ok,617
2012-01,Houston,ok,879
2012-02,Houston,ok,879
2011-12,Houston,ok,879
2011-11,Houston,ok,879
2012-04,Houston,ok,605
2012-03,Houston,ok,845
2012-05,Houston,ok,1089
2012-07,Houston,ok,641
2012-06,Houston,ok,1521
2012-08,Houston,ok,677
2012-09,Houston,ok,747
2012-12,Houston,ok,748
2012-10,Houston,ok,1151
2013-01,Houston,ok,791
2013-02,Houston,ok,586
2012-11,Houston,ok,1334
2013-04,Houston,ok,672
2014-11,Seattle,no_cargo,1
2010-10,Savannah,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,10
2010-10,NY_NJ,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,10
2014-09,Savannah,empty,62
2013-07,Houston,error:download failed after 2 tries: truncated download: 1326676 of 2585803168 b,35
2013-03,Houston,ok,638
2013-05,Houston,ok,862
2013-06,Houston,ok,1054
2013-09,Houston,ok,568
2013-11,Houston,ok,593
2013-12,Houston,ok,567
2013-10,Houston,ok,1176
2014-01,Houston,ok,533
2014-02,Houston,ok,572
2014-03,Houston,ok,598
2014-04,Houston,ok,974
2014-06,Houston,ok,517
2014-05,Houston,ok,817
2013-08,Houston,error:download failed after 2 tries: truncated download: 1326676 of 2473013286 b,3308
2014-09,Houston,ok,810
2014-07,Houston,ok,810
2014-08,Houston,ok,810
2014-11,Houston,ok,54
2014-12,Houston,ok,296
2014-10,Houston,ok,1126
