week_start,speed_bin,ring,mean_daily_hours,days_included
2019-03-11,4-6,50-150nm,2.2857142857142856,7
2019-03-11,6-10,0-50nm,23.571428571428573,7
2019-03-11,6-10,150-300nm,23.571428571428573,7
2019-03-11,6-10,50-150nm,20.571428571428573,7
2019-03-11,<2,0-50nm,422.85714285714283,7
2019-03-11,<2,150-300nm,35.714285714285715,7
2019-03-11,<2,50-150nm,67.14285714285714,7
2019-03-11,>25,0-50nm,0.0,7
2019-03-11,>25,150-300nm,0.0,7
2019-03-11,>25,50-150nm,0.0,7
2019-03-18,10-15,0-50nm,44.285714285714285,7
2019-03-18,10-15,150-300nm,132.57142857142858,7
2019-03-18,10-15,50-150nm,61.142857142857146,7
2019-03-18,15-25,0-50nm,3.2857142857142856,7
2019-03-18,15-25,150-300nm,132.0,7
2019-03-18,15-25,50-150nm,44.0,7
2019-03-18,2-4,0-50nm,3.142857142857143,7
2019-03-18,2-4,150-300nm,2.142857142857143,7
2019-03-18,2-4,50-150nm,3.857142857142857,7
2019-03-18,4-6,0-50nm,7.0,7
2019-03-18,4-6,150-300nm,1.1428571428571428,7
2019-03-18,4-6,50-150nm,2.5714285714285716,7
2019-03-18,6-10,0-50nm,21.428571428571427,7
2019-03-18,6-10,150-300nm,17.428571428571427,7
2019-03-18,6-10,50-150nm,24.142857142857142,7
2019-03-18,<2,0-50nm,450.85714285714283,7
2019-03-18,<2,150-300nm,52.285714285714285,7
2019-03-18,<2,50-150nm,90.28571428571429,7
2019-03-18,>25,0-50nm,0.0,7
2019-03-18,>25,150-300nm,0.0,7
2019-03-18,>25,50-150nm,0.0,7
2019-03-25,10-15,0-50nm,46.714285714285715,7
2019-03-25,10-15,150-300nm,157.57142857142858,7
2019-03-25,10-15,50-150nm,66.42857142857143,7
2019-03-25,15-25,0-50nm,3.857142857142857,7
2019-03-25,15-25,150-300nm,119.0,7
2019-03-25,15-25,50-150nm,49.142857142857146,7
2019-03-25,2-4,0-50nm,4.142857142857143,7
2019-03-25,2-4,150-300nm,4.0,7
2019-03-25,2-4,50-150nm,2.0,7
2019-03-25,4-6,0-50nm,7.571428571428571,7
2019-03-25,4-6,150-300nm,1.2857142857142858,7
2019-03-25,4-6,50-150nm,1.2857142857142858,7
2019-03-25,6-10,0-50nm,26.0,7
2019-03-25,6-10,150-300nm,15.857142857142858,7
2019-03-25,6-10,50-150nm,21.285714285714285,7
2019-03-25,<2,0-50nm,488.85714285714283,7
2019-03-25,<2,150-300nm,37.857142857142854,7
2019-03-25,<2,50-150nm,72.57142857142857,7
2019-03-25,>25,0-50nm,0.0,7
2019-03-25,>25,150-300nm,0.0,7
2019-03-25,>25,50-150nm,0.0,7
2019-04-01,10-15,0-50nm,46.0,7
2019-04-01,10-15,150-300nm,165.14285714285714,7
2019-04-01,10-15,50-150nm,86.42857142857143,7
2019-04-01,15-25,0-50nm,3.857142857142857,7
2019-04-01,15-25,150-300nm,114.57142857142857,7
2019-04-01,15-25,50-150nm,47.57142857142857,7
2019-04-01,2-4,0-50nm,3.857142857142857,7
2019-04-01,2-4,150-300nm,1.5714285714285714,7
2019-04-01,2-4,50-150nm,2.4285714285714284,7
2019-04-01,4-6,0-50nm,6.571428571428571,7
2019-04-01,4-6,150-300nm,0.8571428571428571,7
2019-04-01,4-6,50-150nm,2.142857142857143,7
2019-04-01,6-10,0-50nm,30.285714285714285,7
2019-04-01,6-10,150-300nm,9.0,7
2019-04-01,6-10,50-150nm,13.714285714285714,7
2019-04-01,<2,0-50nm,486.57142857142856,7
2019-04-01,<2,150-300nm,62.57142857142857,7
2019-04-01,<2,50-150nm,44.42857142857143,7
2019-04-01,>25,0-50nm,0.0,7
2019-04-01,>25,150-300nm,0.0,7
2019-04-01,>25,50-150nm,0.0,7
2019-04-08,10-15,0-50nm,53.714285714285715,7
2019-04-08,10-15,150-300nm,137.14285714285714,7
2019-04-08,10-15,50-150nm,67.42857142857143,7
2019-04-08,15-25,0-50nm,5.571428571428571,7
2019-04-08,15-25,150-300nm,130.85714285714286,7
2019-04-08,15-25,50-150nm,52.42857142857143,7
2019-04-08,2-4,0-50nm,6.0,7
2019-04-08,2-4,150-300nm,0.5714285714285714,7
2019-04-08,2-4,50-150nm,2.142857142857143,7
2019-04-08,4-6,0-50nm,7.714285714285714,7
2019-04-08,4-6,150-300nm,11.0,7
2019-04-08,4-6,50-150nm,4.142857142857143,7
2019-04-08,6-10,0-50nm,28.285714285714285,7
2019-04-08,6-10,150-300nm,45.42857142857143,7
2019-04-08,6-10,50-150nm,28.714285714285715,7
2019-04-08,<2,0-50nm,477.42857142857144,7
2019-04-08,<2,150-300nm,56.714285714285715,7
2019-04-08,<2,50-150nm,106.71428571428571,7
2019-04-08,>25,0-50nm,0.0,7
2019-04-08,>25,150-300nm,0.0,7
2019-04-08,>25,50-150nm,0.0,7
2019-04-15,10-15,0-50nm,54.142857142857146,7
2019-04-15,10-15,150-300nm,155.71428571428572,7
2019-04-15,10-15,50-150nm,82.42857142857143,7
2019-04-15,15-25,0-50nm,3.142857142857143,7
2019-04-15,15-25,150-300nm,130.71428571428572,7
2019-04-15,15-25,50-150nm,44.42857142857143,7
2019-04-15,2-4,0-50nm,5.0,7
2019-04-15,2-4,150-300nm,4.571428571428571,7
2019-04-15,2-4,50-150nm,2.2857142857142856,7
2019-04-15,4-6,0-50nm,5.428571428571429,7
2019-04-15,4-6,150-300nm,0.5714285714285714,7
2019-04-15,4-6,50-150nm,2.4285714285714284,7
2019-04-15,6-10,0-50nm,20.428571428571427,7
2019-04-15,6-10,150-300nm,21.142857142857142,7
2019-04-15,6-10,50-150nm,18.714285714285715,7
2019-04-15,<2,0-50nm,448.42857142857144,7
2019-04-15,<2,150-300nm,53.857142857142854,7
2019-04-15,<2,50-150nm,102.71428571428571,7
2019-04-15,>25,0-50nm,0.0,7
2019-04-15,>25,150-300nm,0.0,7
2019-04-15,>25,50-150nm,0.0,7
2019-04-22,10-15,0-50nm,39.142857142857146,7
2019-04-22,10-15,150-300nm,157.85714285714286,7
2019-04-22,10-15,50-150nm,64.57142857142857,7
2019-04-22,15-25,0-50nm,4.714285714285714,7
2019-04-22,15-25,150-300nm,104.28571428571429,7
2019-04-22,15-25,50-150nm,34.285714285714285,7
2019-04-22,2-4,0-50nm,4.428571428571429,7
2019-04-22,2-4,150-300nm,2.2857142857142856,7
2019-04-22,2-4,50-150nm,1.4285714285714286,7
2019-04-22,4-6,0-50nm,5.0,7
2019-04-22,4-6,150-300nm,0.7142857142857143,7
2019-04-22,4-6,50-150nm,2.0,7
2019-04-22,6-10,0-50nm,26.428571428571427,7
2019-04-22,6-10,150-300nm,17.428571428571427,7
2019-04-22,6-10,50-150nm,16.428571428571427,7
2019-04-22,<2,0-50nm,443.14285714285717,7
2019-04-22,<2,150-300nm,24.571428571428573,7
2019-04-22,<2,50-150nm,58.285714285714285,7
2019-04-22,>25,0-50nm,0.0,7
2019-04-22,>25,150-300nm,0.0,7
2019-04-22,>25,50-150nm,0.0,7
2019-04-29,10-15,0-50nm,47.42857142857143,7
2019-04-29,10-15,150-300nm,146.28571428571428,7
2019-04-29,10-15,50-150nm,77.14285714285714,7
2019-04-29,15-25,0-50nm,4.142857142857143,7
2019-04-29,15-25,150-300nm,117.85714285714286,7
2019-04-29,15-25,50-150nm,43.285714285714285,7
2019-04-29,2-4,0-50nm,4.428571428571429,7
2019-04-29,2-4,150-300nm,1.5714285714285714,7
2019-04-29,2-4,50-150nm,2.0,7
2019-04-29,4-6,0-50nm,5.857142857142857,7
2019-04-29,4-6,150-300nm,0.7142857142857143,7
2019-04-29,4-6,50-150nm,2.2857142857142856,7
2019-04-29,6-10,0-50nm,25.0,7
2019-04-29,6-10,150-300nm,6.714285714285714,7
2019-04-29,6-10,50-150nm,6.428571428571429,7
2019-04-29,<2,0-50nm,447.57142857142856,7
2019-04-29,<2,150-300nm,54.714285714285715,7
2019-04-29,<2,50-150nm,50.57142857142857,7
2019-04-29,>25,0-50nm,0.0,7
2019-04-29,>25,150-300nm,0.0,7
2019-04-29,>25,50-150nm,0.0,7
2019-05-06,10-15,0-50nm,47.42857142857143,7
2019-05-06,10-15,150-300nm,166.71428571428572,7
2019-05-06,10-15,50-150nm,67.42857142857143,7
2019-05-06,15-25,0-50nm,4.428571428571429,7
2019-05-06,15-25,150-300nm,137.14285714285714,7
2019-05-06,15-25,50-150nm,48.714285714285715,7
2019-05-06,2-4,0-50nm,5.428571428571429,7
2019-05-06,2-4,150-300nm,7.142857142857143,7
2019-05-06,2-4,50-150nm,2.0,7
2019-05-06,4-6,0-50nm,6.285714285714286,7
2019-05-06,4-6,150-300nm,1.1428571428571428,7
2019-05-06,4-6,50-150nm,2.857142857142857,7
2019-05-06,6-10,0-50nm,30.285714285714285,7
2019-05-06,6-10,150-300nm,18.142857142857142,7
2019-05-06,6-10,50-150nm,27.142857142857142,7
2019-05-06,<2,0-50nm,400.14285714285717,7
2019-05-06,<2,150-300nm,81.85714285714286,7
2019-05-06,<2,50-150nm,64.57142857142857,7
2019-05-06,>25,0-50nm,0.0,7
2019-05-06,>25,150-300nm,0.0,7
2019-05-06,>25,50-150nm,0.0,7
2019-05-13,10-15,0-50nm,39.142857142857146,7
2019-05-13,10-15,150-300nm,169.85714285714286,7
2019-05-13,10-15,50-150nm,79.57142857142857,7
2019-05-13,15-25,0-50nm,2.4285714285714284,7
2019-05-13,15-25,150-300nm,143.85714285714286,7
2019-05-13,15-25,50-150nm,35.57142857142857,7
2019-05-13,2-4,0-50nm,4.571428571428571,7
2019-05-13,2-4,150-300nm,1.4285714285714286,7
2019-05-13,2-4,50-150nm,2.5714285714285716,7
2019-05-13,4-6,0-50nm,5.714285714285714,7
2019-05-13,4-6,150-300nm,0.8571428571428571,7
2019-05-13,4-6,50-150nm,1.4285714285714286,7
2019-05-13,6-10,0-50nm,37.0,7
2019-05-13,6-10,150-300nm,13.428571428571429,7
2019-05-13,6-10,50-150nm,41.57142857142857,7
2019-05-13,<2,0-50nm,472.2857142857143,7
2019-05-13,<2,150-300nm,46.285714285714285,7
2019-05-13,<2,50-150nm,84.0,7
2019-05-13,>25,0-50nm,0.0,7
2019-05-13,>25,150-300nm,0.0,7
2019-05-13,>25,50-150nm,0.0,7
2019-05-20,10-15,0-50nm,35.57142857142857,7
2019-05-20,10-15,150-300nm,157.85714285714286,7
2019-05-20,10-15,50-150nm,68.0,7
2019-05-20,15-25,0-50nm,3.2857142857142856,7
2019-05-20,15-25,150-300nm,119.57142857142857,7
2019-05-20,15-25,50-150nm,31.0,7
2019-05-20,2-4,0-50nm,4.142857142857143,7
2019-05-20,2-4,150-300nm,3.5714285714285716,7
2019-05-20,2-4,50-150nm,4.571428571428571,7
2019-05-20,4-6,0-50nm,5.0,7
2019-05-20,4-6,150-300nm,0.7142857142857143,7
2019-05-20,4-6,50-150nm,2.857142857142857,7
